window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2022-09-01_2022-11-30,HRES,1 days,EuroAtlantic,0.015486111111111112,0.0875,0.1,0.1875,180
2022-09-01_2022-11-30,HRES,1 days,Pacific,0.018333333333333333,0.075,0.1375,0.3,180
2022-09-01_2022-11-30,HRES,3 days,EuroAtlantic,0.015553977272727271,0.0875,0.1,0.1875,176
2022-09-01_2022-11-30,HRES,3 days,Pacific,0.01875,0.075,0.1375,0.3,176
2022-09-01_2022-11-30,HRES,5 days,EuroAtlantic,0.015915697674418607,0.0875,0.1,0.1875,172
2022-09-01_2022-11-30,HRES,5 days,Pacific,0.019186046511627905,0.075,0.1375,0.3,172
2022-09-01_2022-11-30,HRES,7 days,EuroAtlantic,0.016294642857142855,0.0875,0.1,0.1875,168
2022-09-01_2022-11-30,HRES,7 days,Pacific,0.019642857142857142,0.075,0.1375,0.3,168
2022-09-01_2022-11-30,GraphCast,1 days,EuroAtlantic,,,,,0
2022-09-01_2022-11-30,GraphCast,1 days,Pacific,,,,,0
2022-09-01_2022-11-30,GraphCast,3 days,EuroAtlantic,,,,,0
2022-09-01_2022-11-30,GraphCast,3 days,Pacific,,,,,0
2022-09-01_2022-11-30,GraphCast,5 days,EuroAtlantic,,,,,0
2022-09-01_2022-11-30,GraphCast,5 days,Pacific,,,,,0
2022-09-01_2022-11-30,GraphCast,7 days,EuroAtlantic,,,,,0
2022-09-01_2022-11-30,GraphCast,7 days,Pacific,,,,,0
2022-09-01_2022-11-30,NeuralGCM,1 days,EuroAtlantic,,,,,0
2022-09-01_2022-11-30,NeuralGCM,1 days,Pacific,,,,,0
2022-09-01_2022-11-30,NeuralGCM,3 days,EuroAtlantic,,,,,0
2022-09-01_2022-11-30,NeuralGCM,3 days,Pacific,,,,,0
2022-09-01_2022-11-30,NeuralGCM,5 days,EuroAtlantic,,,,,0
2022-09-01_2022-11-30,NeuralGCM,5 days,Pacific,,,,,0
2022-09-01_2022-11-30,NeuralGCM,7 days,EuroAtlantic,,,,,0
2022-09-01_2022-11-30,NeuralGCM,7 days,Pacific,,,,,0
