window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2022-09-01_2022-11-30,HRES,1 days,46.43213016821949,46.86540241105782,21,159
2022-09-01_2022-11-30,HRES,3 days,132.38394748533233,138.16704054157063,21,155
2022-09-01_2022-11-30,HRES,5 days,289.60188324237436,310.46962043783,21,151
2022-09-01_2022-11-30,HRES,7 days,503.05919662305087,528.8796750801376,21,147
2022-09-01_2022-11-30,GraphCast,1 days,,,0,0
2022-09-01_2022-11-30,GraphCast,3 days,,,0,0
2022-09-01_2022-11-30,GraphCast,5 days,,,0,0
2022-09-01_2022-11-30,GraphCast,7 days,,,0,0
2022-09-01_2022-11-30,NeuralGCM,1 days,,,0,0
2022-09-01_2022-11-30,NeuralGCM,3 days,,,0,0
2022-09-01_2022-11-30,NeuralGCM,5 days,,,0,0
2022-09-01_2022-11-30,NeuralGCM,7 days,,,0,0
