hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector
7,1,0,172,0.875,0.0,0.875,0.875,8,7,2022-09-01_2022-11-30,HRES,1 days,EuroAtlantic
13,0,0,167,1.0,0.0,1.0,1.0,13,13,2022-09-01_2022-11-30,HRES,1 days,Pacific
4,4,5,163,0.5,0.5555555555555556,0.3076923076923077,1.125,8,9,2022-09-01_2022-11-30,HRES,3 days,EuroAtlantic
11,2,3,160,0.8461538461538461,0.21428571428571427,0.6875,1.0769230769230769,13,14,2022-09-01_2022-11-30,HRES,3 days,Pacific
3,5,7,157,0.375,0.7,0.2,1.25,8,10,2022-09-01_2022-11-30,HRES,5 days,EuroAtlantic
10,3,5,154,0.7692307692307693,0.3333333333333333,0.5555555555555556,1.1538461538461537,13,15,2022-09-01_2022-11-30,HRES,5 days,Pacific
5,3,10,150,0.625,0.6666666666666666,0.2777777777777778,1.875,8,15,2022-09-01_2022-11-30,HRES,7 days,EuroAtlantic
11,2,6,149,0.8461538461538461,0.35294117647058826,0.5789473684210527,1.3076923076923077,13,17,2022-09-01_2022-11-30,HRES,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,GraphCast,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,GraphCast,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,GraphCast,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,GraphCast,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,GraphCast,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,GraphCast,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,GraphCast,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,GraphCast,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,NeuralGCM,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,NeuralGCM,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,NeuralGCM,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,NeuralGCM,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,NeuralGCM,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,NeuralGCM,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,NeuralGCM,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2022-09-01_2022-11-30,NeuralGCM,7 days,Pacific
