window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2019-09-01_2019-11-30,HRES,1 days,0.02,67,0.37222222222222223
2019-09-01_2019-11-30,HRES,1 days,0.05,54,0.3
2019-09-01_2019-11-30,HRES,1 days,0.1,31,0.17222222222222222
2019-09-01_2019-11-30,HRES,1 days,0.2,5,0.027777777777777776
2019-09-01_2019-11-30,HRES,1 days,0.5,0,0.0
2019-09-01_2019-11-30,HRES,3 days,0.02,67,0.3806818181818182
2019-09-01_2019-11-30,HRES,3 days,0.05,54,0.3068181818181818
2019-09-01_2019-11-30,HRES,3 days,0.1,31,0.17613636363636365
2019-09-01_2019-11-30,HRES,3 days,0.2,5,0.028409090909090908
2019-09-01_2019-11-30,HRES,3 days,0.5,0,0.0
2019-09-01_2019-11-30,HRES,5 days,0.02,67,0.38953488372093026
2019-09-01_2019-11-30,HRES,5 days,0.05,54,0.313953488372093
2019-09-01_2019-11-30,HRES,5 days,0.1,31,0.18023255813953487
2019-09-01_2019-11-30,HRES,5 days,0.2,5,0.029069767441860465
2019-09-01_2019-11-30,HRES,5 days,0.5,0,0.0
2019-09-01_2019-11-30,HRES,7 days,0.02,67,0.39880952380952384
2019-09-01_2019-11-30,HRES,7 days,0.05,54,0.32142857142857145
2019-09-01_2019-11-30,HRES,7 days,0.1,31,0.18452380952380953
2019-09-01_2019-11-30,HRES,7 days,0.2,5,0.02976190476190476
2019-09-01_2019-11-30,HRES,7 days,0.5,0,0.0
2019-09-01_2019-11-30,GraphCast,1 days,0.02,20,0.7142857142857143
2019-09-01_2019-11-30,GraphCast,1 days,0.05,18,0.6428571428571429
2019-09-01_2019-11-30,GraphCast,1 days,0.1,15,0.5357142857142857
2019-09-01_2019-11-30,GraphCast,1 days,0.2,3,0.10714285714285714
2019-09-01_2019-11-30,GraphCast,1 days,0.5,0,0.0
2019-09-01_2019-11-30,GraphCast,3 days,0.02,20,0.8333333333333334
2019-09-01_2019-11-30,GraphCast,3 days,0.05,18,0.75
2019-09-01_2019-11-30,GraphCast,3 days,0.1,15,0.625
2019-09-01_2019-11-30,GraphCast,3 days,0.2,3,0.125
2019-09-01_2019-11-30,GraphCast,3 days,0.5,0,0.0
2019-09-01_2019-11-30,GraphCast,5 days,0.02,19,0.95
2019-09-01_2019-11-30,GraphCast,5 days,0.05,17,0.85
2019-09-01_2019-11-30,GraphCast,5 days,0.1,14,0.7
2019-09-01_2019-11-30,GraphCast,5 days,0.2,3,0.15
2019-09-01_2019-11-30,GraphCast,5 days,0.5,0,0.0
2019-09-01_2019-11-30,GraphCast,7 days,0.02,15,0.9375
2019-09-01_2019-11-30,GraphCast,7 days,0.05,13,0.8125
2019-09-01_2019-11-30,GraphCast,7 days,0.1,10,0.625
2019-09-01_2019-11-30,GraphCast,7 days,0.2,0,0.0
2019-09-01_2019-11-30,GraphCast,7 days,0.5,0,0.0
2019-09-01_2019-11-30,NeuralGCM,1 days,0.02,0,
2019-09-01_2019-11-30,NeuralGCM,1 days,0.05,0,
2019-09-01_2019-11-30,NeuralGCM,1 days,0.1,0,
2019-09-01_2019-11-30,NeuralGCM,1 days,0.2,0,
2019-09-01_2019-11-30,NeuralGCM,1 days,0.5,0,
2019-09-01_2019-11-30,NeuralGCM,3 days,0.02,0,
2019-09-01_2019-11-30,NeuralGCM,3 days,0.05,0,
2019-09-01_2019-11-30,NeuralGCM,3 days,0.1,0,
2019-09-01_2019-11-30,NeuralGCM,3 days,0.2,0,
2019-09-01_2019-11-30,NeuralGCM,3 days,0.5,0,
2019-09-01_2019-11-30,NeuralGCM,5 days,0.02,0,
2019-09-01_2019-11-30,NeuralGCM,5 days,0.05,0,
2019-09-01_2019-11-30,NeuralGCM,5 days,0.1,0,
2019-09-01_2019-11-30,NeuralGCM,5 days,0.2,0,
2019-09-01_2019-11-30,NeuralGCM,5 days,0.5,0,
2019-09-01_2019-11-30,NeuralGCM,7 days,0.02,0,
2019-09-01_2019-11-30,NeuralGCM,7 days,0.05,0,
2019-09-01_2019-11-30,NeuralGCM,7 days,0.1,0,
2019-09-01_2019-11-30,NeuralGCM,7 days,0.2,0,
2019-09-01_2019-11-30,NeuralGCM,7 days,0.5,0,
