window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2019-09-01_2019-11-30,HRES,1 days,46.474404880977545,46.06309220467024,31,149
2019-09-01_2019-11-30,HRES,3 days,129.8359169819431,135.5027658978642,31,145
2019-09-01_2019-11-30,HRES,5 days,283.11460077672956,299.3159236786885,31,141
2019-09-01_2019-11-30,HRES,7 days,476.3164156911892,508.99195825270345,31,137
2019-09-01_2019-11-30,GraphCast,1 days,36.50321287196428,36.77572796625181,15,13
2019-09-01_2019-11-30,GraphCast,3 days,120.42728151806251,117.31991095103399,15,9
2019-09-01_2019-11-30,GraphCast,5 days,261.479595432145,266.94598067831373,14,6
2019-09-01_2019-11-30,GraphCast,7 days,443.66717101727534,479.29712211487885,10,6
2019-09-01_2019-11-30,NeuralGCM,1 days,,,0,0
2019-09-01_2019-11-30,NeuralGCM,3 days,,,0,0
2019-09-01_2019-11-30,NeuralGCM,5 days,,,0,0
2019-09-01_2019-11-30,NeuralGCM,7 days,,,0,0
