window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2022-03-01_2022-05-31,HRES,1 days,EuroAtlantic,0.1183379120879121,0.3125,0.38687499999999986,0.6,182
2022-03-01_2022-05-31,HRES,1 days,Pacific,0.04320054945054945,0.1375,0.1625,0.25,182
2022-03-01_2022-05-31,HRES,3 days,EuroAtlantic,0.11917134831460674,0.3200000000000003,0.39125000000000015,0.6,178
2022-03-01_2022-05-31,HRES,3 days,Pacific,0.04417134831460674,0.1375,0.1625,0.25,178
2022-03-01_2022-05-31,HRES,5 days,EuroAtlantic,0.11788793103448278,0.33000000000000046,0.3962499999999999,0.6,174
2022-03-01_2022-05-31,HRES,5 days,Pacific,0.045186781609195405,0.1375,0.1625,0.25,174
2022-03-01_2022-05-31,HRES,7 days,EuroAtlantic,0.11647058823529412,0.3375,0.40124999999999955,0.6,170
2022-03-01_2022-05-31,HRES,7 days,Pacific,0.044926470588235304,0.1375,0.1625,0.25,170
2022-03-01_2022-05-31,GraphCast,1 days,EuroAtlantic,,,,,0
2022-03-01_2022-05-31,GraphCast,1 days,Pacific,,,,,0
2022-03-01_2022-05-31,GraphCast,3 days,EuroAtlantic,,,,,0
2022-03-01_2022-05-31,GraphCast,3 days,Pacific,,,,,0
2022-03-01_2022-05-31,GraphCast,5 days,EuroAtlantic,,,,,0
2022-03-01_2022-05-31,GraphCast,5 days,Pacific,,,,,0
2022-03-01_2022-05-31,GraphCast,7 days,EuroAtlantic,,,,,0
2022-03-01_2022-05-31,GraphCast,7 days,Pacific,,,,,0
2022-03-01_2022-05-31,NeuralGCM,1 days,EuroAtlantic,,,,,0
2022-03-01_2022-05-31,NeuralGCM,1 days,Pacific,,,,,0
2022-03-01_2022-05-31,NeuralGCM,3 days,EuroAtlantic,,,,,0
2022-03-01_2022-05-31,NeuralGCM,3 days,Pacific,,,,,0
2022-03-01_2022-05-31,NeuralGCM,5 days,EuroAtlantic,,,,,0
2022-03-01_2022-05-31,NeuralGCM,5 days,Pacific,,,,,0
2022-03-01_2022-05-31,NeuralGCM,7 days,EuroAtlantic,,,,,0
2022-03-01_2022-05-31,NeuralGCM,7 days,Pacific,,,,,0
