window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2018-03-01_2018-05-31,HRES,1 days,EuroAtlantic,0.10405219780219781,0.325,0.36187499999999984,0.425,182
2018-03-01_2018-05-31,HRES,1 days,Pacific,0.035096153846153846,0.13500000000000015,0.1625,0.35,182
2018-03-01_2018-05-31,HRES,3 days,EuroAtlantic,0.10182584269662921,0.32875000000000015,0.3625,0.425,178
2018-03-01_2018-05-31,HRES,3 days,Pacific,0.03546348314606742,0.1375,0.16437500000000008,0.35,178
2018-03-01_2018-05-31,HRES,5 days,EuroAtlantic,0.10079022988505748,0.3337500000000002,0.3625,0.425,174
2018-03-01_2018-05-31,HRES,5 days,Pacific,0.033979885057471265,0.1375,0.16687499999999994,0.35,174
2018-03-01_2018-05-31,HRES,7 days,EuroAtlantic,0.10220588235294117,0.3375,0.3625,0.425,170
2018-03-01_2018-05-31,HRES,7 days,Pacific,0.03441176470588235,0.1375,0.16937499999999978,0.35,170
2018-03-01_2018-05-31,GraphCast,1 days,EuroAtlantic,,,,,0
2018-03-01_2018-05-31,GraphCast,1 days,Pacific,,,,,0
2018-03-01_2018-05-31,GraphCast,3 days,EuroAtlantic,,,,,0
2018-03-01_2018-05-31,GraphCast,3 days,Pacific,,,,,0
2018-03-01_2018-05-31,GraphCast,5 days,EuroAtlantic,,,,,0
2018-03-01_2018-05-31,GraphCast,5 days,Pacific,,,,,0
2018-03-01_2018-05-31,GraphCast,7 days,EuroAtlantic,,,,,0
2018-03-01_2018-05-31,GraphCast,7 days,Pacific,,,,,0
2018-03-01_2018-05-31,NeuralGCM,1 days,EuroAtlantic,,,,,0
2018-03-01_2018-05-31,NeuralGCM,1 days,Pacific,,,,,0
2018-03-01_2018-05-31,NeuralGCM,3 days,EuroAtlantic,,,,,0
2018-03-01_2018-05-31,NeuralGCM,3 days,Pacific,,,,,0
2018-03-01_2018-05-31,NeuralGCM,5 days,EuroAtlantic,,,,,0
2018-03-01_2018-05-31,NeuralGCM,5 days,Pacific,,,,,0
2018-03-01_2018-05-31,NeuralGCM,7 days,EuroAtlantic,,,,,0
2018-03-01_2018-05-31,NeuralGCM,7 days,Pacific,,,,,0
