window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2018-03-01_2018-05-31,HRES,1 days,0.02,116,0.6373626373626373
2018-03-01_2018-05-31,HRES,1 days,0.05,101,0.554945054945055
2018-03-01_2018-05-31,HRES,1 days,0.1,84,0.46153846153846156
2018-03-01_2018-05-31,HRES,1 days,0.2,51,0.2802197802197802
2018-03-01_2018-05-31,HRES,1 days,0.5,0,0.0
2018-03-01_2018-05-31,HRES,3 days,0.02,112,0.6292134831460674
2018-03-01_2018-05-31,HRES,3 days,0.05,97,0.5449438202247191
2018-03-01_2018-05-31,HRES,3 days,0.1,80,0.449438202247191
2018-03-01_2018-05-31,HRES,3 days,0.2,50,0.2808988764044944
2018-03-01_2018-05-31,HRES,3 days,0.5,0,0.0
2018-03-01_2018-05-31,HRES,5 days,0.02,108,0.6206896551724138
2018-03-01_2018-05-31,HRES,5 days,0.05,93,0.5344827586206896
2018-03-01_2018-05-31,HRES,5 days,0.1,77,0.4425287356321839
2018-03-01_2018-05-31,HRES,5 days,0.2,50,0.28735632183908044
2018-03-01_2018-05-31,HRES,5 days,0.5,0,0.0
2018-03-01_2018-05-31,HRES,7 days,0.02,105,0.6176470588235294
2018-03-01_2018-05-31,HRES,7 days,0.05,92,0.5411764705882353
2018-03-01_2018-05-31,HRES,7 days,0.1,77,0.45294117647058824
2018-03-01_2018-05-31,HRES,7 days,0.2,50,0.29411764705882354
2018-03-01_2018-05-31,HRES,7 days,0.5,0,0.0
2018-03-01_2018-05-31,GraphCast,1 days,0.02,0,
2018-03-01_2018-05-31,GraphCast,1 days,0.05,0,
2018-03-01_2018-05-31,GraphCast,1 days,0.1,0,
2018-03-01_2018-05-31,GraphCast,1 days,0.2,0,
2018-03-01_2018-05-31,GraphCast,1 days,0.5,0,
2018-03-01_2018-05-31,GraphCast,3 days,0.02,0,
2018-03-01_2018-05-31,GraphCast,3 days,0.05,0,
2018-03-01_2018-05-31,GraphCast,3 days,0.1,0,
2018-03-01_2018-05-31,GraphCast,3 days,0.2,0,
2018-03-01_2018-05-31,GraphCast,3 days,0.5,0,
2018-03-01_2018-05-31,GraphCast,5 days,0.02,0,
2018-03-01_2018-05-31,GraphCast,5 days,0.05,0,
2018-03-01_2018-05-31,GraphCast,5 days,0.1,0,
2018-03-01_2018-05-31,GraphCast,5 days,0.2,0,
2018-03-01_2018-05-31,GraphCast,5 days,0.5,0,
2018-03-01_2018-05-31,GraphCast,7 days,0.02,0,
2018-03-01_2018-05-31,GraphCast,7 days,0.05,0,
2018-03-01_2018-05-31,GraphCast,7 days,0.1,0,
2018-03-01_2018-05-31,GraphCast,7 days,0.2,0,
2018-03-01_2018-05-31,GraphCast,7 days,0.5,0,
2018-03-01_2018-05-31,NeuralGCM,1 days,0.02,0,
2018-03-01_2018-05-31,NeuralGCM,1 days,0.05,0,
2018-03-01_2018-05-31,NeuralGCM,1 days,0.1,0,
2018-03-01_2018-05-31,NeuralGCM,1 days,0.2,0,
2018-03-01_2018-05-31,NeuralGCM,1 days,0.5,0,
2018-03-01_2018-05-31,NeuralGCM,3 days,0.02,0,
2018-03-01_2018-05-31,NeuralGCM,3 days,0.05,0,
2018-03-01_2018-05-31,NeuralGCM,3 days,0.1,0,
2018-03-01_2018-05-31,NeuralGCM,3 days,0.2,0,
2018-03-01_2018-05-31,NeuralGCM,3 days,0.5,0,
2018-03-01_2018-05-31,NeuralGCM,5 days,0.02,0,
2018-03-01_2018-05-31,NeuralGCM,5 days,0.05,0,
2018-03-01_2018-05-31,NeuralGCM,5 days,0.1,0,
2018-03-01_2018-05-31,NeuralGCM,5 days,0.2,0,
2018-03-01_2018-05-31,NeuralGCM,5 days,0.5,0,
2018-03-01_2018-05-31,NeuralGCM,7 days,0.02,0,
2018-03-01_2018-05-31,NeuralGCM,7 days,0.05,0,
2018-03-01_2018-05-31,NeuralGCM,7 days,0.1,0,
2018-03-01_2018-05-31,NeuralGCM,7 days,0.2,0,
2018-03-01_2018-05-31,NeuralGCM,7 days,0.5,0,
