window,model,lead,div_rmse_mean,vort_rmse_mean
2021-01-01_2021-12-31,HRES,1 days,6.265119709832332e-06,1.0176745609315536e-05
2021-01-01_2021-12-31,HRES,3 days,8.271558981734917e-06,1.7879753405276764e-05
2021-01-01_2021-12-31,HRES,5 days,9.637083434468886e-06,2.429403577902768e-05
2021-01-01_2021-12-31,HRES,7 days,1.0521577048661296e-05,2.8448161618447757e-05
2021-01-01_2021-12-31,GraphCast,1 days,4.576601583867948e-06,7.366664450792376e-06
2021-01-01_2021-12-31,GraphCast,3 days,6.324521694977103e-06,1.3823967083369194e-05
2021-01-01_2021-12-31,GraphCast,5 days,7.5705155350776195e-06,1.9440222899620982e-05
2021-01-01_2021-12-31,GraphCast,7 days,8.570534459535432e-06,2.37107338947207e-05
2021-01-01_2021-12-31,NeuralGCM,1 days,,
2021-01-01_2021-12-31,NeuralGCM,3 days,,
2021-01-01_2021-12-31,NeuralGCM,5 days,,
2021-01-01_2021-12-31,NeuralGCM,7 days,,
