window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times
2021-01-01_2021-12-31,z500,HRES,1 days,46.76951945894121,0.9989524276438412,34.572571851539685,-0.33887293122087625,728
2021-01-01_2021-12-31,z500,HRES,3 days,140.31026007478363,0.9903605608854755,88.60372129728648,0.7762555876066501,724
2021-01-01_2021-12-31,z500,HRES,5 days,313.1931832575762,0.9512292781458214,183.8170041910427,0.20110223289115337,720
2021-01-01_2021-12-31,z500,HRES,7 days,529.9358115317059,0.8600828596997723,310.2868378724583,-2.036102710618084,716
2021-01-01_2021-12-31,z500,GraphCast,1 days,39.16265070828835,0.9986093633894708,29.148823078149835,-4.748516859368239,62
2021-01-01_2021-12-31,z500,GraphCast,3 days,119.40406410027566,0.9870594907198224,76.5231165813525,-11.905180960997953,62
2021-01-01_2021-12-31,z500,GraphCast,5 days,260.0552070686974,0.9371649135492874,156.94151142521483,-19.396788579722696,62
2021-01-01_2021-12-31,z500,GraphCast,7 days,449.3975819551929,0.8120373342014636,266.46827927032797,-24.37050244301228,62
2021-01-01_2021-12-31,z500,NeuralGCM,1 days,,,,,0
2021-01-01_2021-12-31,z500,NeuralGCM,3 days,,,,,0
2021-01-01_2021-12-31,z500,NeuralGCM,5 days,,,,,0
2021-01-01_2021-12-31,z500,NeuralGCM,7 days,,,,,0
2021-01-01_2021-12-31,t850,HRES,1 days,0.7435330265631709,0.9887278429277213,0.5153867222308856,0.005328122472392728,728
2021-01-01_2021-12-31,t850,HRES,3 days,1.1858309833763907,0.9718136000610832,0.8100743957177416,0.03463530882606877,724
2021-01-01_2021-12-31,t850,HRES,5 days,1.8676820589255234,0.9301632037139115,1.2256212522231642,0.02738325119083126,720
2021-01-01_2021-12-31,t850,HRES,7 days,2.703895415952742,0.8526581390429792,1.750997990643072,0.00845910214233018,716
2021-01-01_2021-12-31,t850,GraphCast,1 days,0.5039666220014931,0.988409442470356,0.36247636591238735,0.000563124911685088,62
2021-01-01_2021-12-31,t850,GraphCast,3 days,0.9147227304050084,0.9619202827044979,0.6326312083531682,0.0024182919074288893,62
2021-01-01_2021-12-31,t850,GraphCast,5 days,1.5022326789646294,0.8979421964629242,0.9881287914862458,-0.034782126218791946,62
2021-01-01_2021-12-31,t850,GraphCast,7 days,2.2831035262524906,0.7665536128162701,1.4634508740401362,-0.06332895059841052,62
2021-01-01_2021-12-31,t850,NeuralGCM,1 days,,,,,0
2021-01-01_2021-12-31,t850,NeuralGCM,3 days,,,,,0
2021-01-01_2021-12-31,t850,NeuralGCM,5 days,,,,,0
2021-01-01_2021-12-31,t850,NeuralGCM,7 days,,,,,0
2021-01-01_2021-12-31,u850,HRES,1 days,1.2924378407480372,0.9758593714415331,0.9523339129568752,0.04202185144221995,728
2021-01-01_2021-12-31,u850,HRES,3 days,2.349679963039538,0.9194330703457763,1.642864060760171,0.03103548772827535,724
2021-01-01_2021-12-31,u850,HRES,5 days,3.721596016970475,0.7966946851002467,2.5320449628036203,-0.0031897911620412636,720
2021-01-01_2021-12-31,u850,HRES,7 days,5.079512360716083,0.6217043345306855,3.4714803209978853,-0.03699636191629675,716
2021-01-01_2021-12-31,u850,GraphCast,1 days,0.9861535577708213,0.983089523164643,0.7222958766110329,0.03681752313765809,62
2021-01-01_2021-12-31,u850,GraphCast,3 days,1.8913535437944653,0.9363575292727219,1.3184604558660762,0.06274556108840104,62
2021-01-01_2021-12-31,u850,GraphCast,5 days,3.0499437554078717,0.8287270570530479,2.0559976221538077,0.06522342937057071,62
2021-01-01_2021-12-31,u850,GraphCast,7 days,4.331438536488046,0.6463992097366273,2.908682316433077,0.05084204464330701,62
2021-01-01_2021-12-31,u850,NeuralGCM,1 days,,,,,0
2021-01-01_2021-12-31,u850,NeuralGCM,3 days,,,,,0
2021-01-01_2021-12-31,u850,NeuralGCM,5 days,,,,,0
2021-01-01_2021-12-31,u850,NeuralGCM,7 days,,,,,0
2021-01-01_2021-12-31,v850,HRES,1 days,1.3122218960194911,0.9713542900112583,0.9592482573464614,-0.016411758982342522,728
2021-01-01_2021-12-31,v850,HRES,3 days,2.375185877375617,0.9053626284045845,1.6262450233287784,0.005070785573145625,724
2021-01-01_2021-12-31,v850,HRES,5 days,3.7633362677449833,0.7616646826469646,2.4977073419357736,-0.009082531506755543,720
2021-01-01_2021-12-31,v850,HRES,7 days,5.135107148052332,0.5571381708461367,3.415964002170447,-0.009090120353298311,716
2021-01-01_2021-12-31,v850,GraphCast,1 days,1.010233718490729,0.9801252060247717,0.7361076586864991,0.011352496586153086,62
2021-01-01_2021-12-31,v850,GraphCast,3 days,1.917918646645028,0.9289491382485716,1.3174949581784197,0.02507266622003401,62
2021-01-01_2021-12-31,v850,GraphCast,5 days,3.1080978329111226,0.8134185942871939,2.0432046615802704,0.030620320970213468,62
2021-01-01_2021-12-31,v850,GraphCast,7 days,4.398879596869315,0.6255145459409693,2.8777189341839047,0.027812311301195707,62
2021-01-01_2021-12-31,v850,NeuralGCM,1 days,,,,,0
2021-01-01_2021-12-31,v850,NeuralGCM,3 days,,,,,0
2021-01-01_2021-12-31,v850,NeuralGCM,5 days,,,,,0
2021-01-01_2021-12-31,v850,NeuralGCM,7 days,,,,,0
2021-01-01_2021-12-31,mslp,HRES,1 days,61.89232477812688,0.996575360254967,43.883091541264456,0.8034777117633293,728
2021-01-01_2021-12-31,mslp,HRES,3 days,152.7273318662882,0.9787621327539993,96.54243203741274,0.5913240182088522,724
2021-01-01_2021-12-31,mslp,HRES,5 days,317.08576978678326,0.9076511152583207,187.68508986461532,0.8074082707011543,720
2021-01-01_2021-12-31,mslp,HRES,7 days,517.2640797873034,0.7560360975765135,305.2059191980818,0.8488393041738697,716
2021-01-01_2021-12-31,mslp,GraphCast,1 days,48.378533662093744,0.9974433493881659,35.4356484529919,-6.140630543143218,62
2021-01-01_2021-12-31,mslp,GraphCast,3 days,126.99589726708133,0.9820653297153619,82.72948321284882,-15.372746348372468,62
2021-01-01_2021-12-31,mslp,GraphCast,5 days,260.47918636408593,0.9209576700849951,159.42449380269917,-19.856907341218893,62
2021-01-01_2021-12-31,mslp,GraphCast,7 days,436.72717846565655,0.7725981756966012,264.17535526543907,-20.773785212066407,62
