window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2021-01-01_2021-12-31,z500,HRES,1 days,0,RMSE,161,47.0729408301869,46.616434471665116,47.581597235324026,47.05377197886862,2.151314524015808
2021-01-01_2021-12-31,z500,HRES,1 days,1,RMSE,273,46.21602059457303,45.77462150045409,46.614770050884076,46.29975879766199,2.4373281450488715
2021-01-01_2021-12-31,z500,HRES,1 days,2,RMSE,152,46.77717496960059,46.140221328551085,47.51141954327992,46.35546345798636,2.6343785963671933
2021-01-01_2021-12-31,z500,HRES,1 days,3,RMSE,142,47.48142587853087,46.86197901414987,48.12589382765705,47.41481165450272,2.408519351971208
2021-01-01_2021-12-31,z500,HRES,3 days,0,RMSE,159,139.06564395223612,135.02267767003718,142.87393041559866,136.68688188064934,15.545826413252831
2021-01-01_2021-12-31,z500,HRES,3 days,1,RMSE,273,142.043539291091,139.493790548989,144.75540073185127,141.30945859486775,13.61630379648772
2021-01-01_2021-12-31,z500,HRES,3 days,2,RMSE,152,140.17514529446652,136.9041560305662,143.00274204519928,139.2217887535473,13.222783579849155
2021-01-01_2021-12-31,z500,HRES,3 days,3,RMSE,140,138.49058996079324,134.90118054138927,142.30073183893307,137.45193230877507,12.480892782441636
2021-01-01_2021-12-31,z500,HRES,5 days,0,RMSE,155,307.06210732831374,295.4060339480245,321.6488602864809,303.4526062457179,44.07910497705817
2021-01-01_2021-12-31,z500,HRES,5 days,1,RMSE,273,317.5211358635464,308.6157998696937,325.57233700910996,315.90502942175755,41.9991567603932
2021-01-01_2021-12-31,z500,HRES,5 days,2,RMSE,152,316.03315147366624,305.43767556264106,325.07189888835603,311.34616747623704,40.417624344745434
2021-01-01_2021-12-31,z500,HRES,5 days,3,RMSE,140,308.45825853443415,299.1683376353942,319.4219998533492,306.15816319375733,38.86864712128711
2021-01-01_2021-12-31,z500,HRES,7 days,0,RMSE,151,531.3114536441924,512.6293462286806,552.7740964754639,521.3227280872609,69.05273362838845
2021-01-01_2021-12-31,z500,HRES,7 days,1,RMSE,273,528.3015204908401,512.779897330755,542.1494857478414,518.7227028760566,70.05518523267632
2021-01-01_2021-12-31,z500,HRES,7 days,2,RMSE,152,536.4501782852849,517.184499041119,555.9724803674402,529.516676506327,69.70928769006316
2021-01-01_2021-12-31,z500,HRES,7 days,3,RMSE,140,524.5662097361841,505.1264289323057,547.099738421602,520.6115350006398,73.07130919288214
2021-01-01_2021-12-31,z500,GraphCast,1 days,0,RMSE,10,38.573165808977976,36.717292690023065,39.895208692940415,38.47864597652498,1.9952758721215424
2021-01-01_2021-12-31,z500,GraphCast,1 days,3,RMSE,52,39.27601318892496,38.738570650959055,39.89227156302657,38.879908821857214,1.8542182082539842
2021-01-01_2021-12-31,z500,GraphCast,3 days,0,RMSE,8,110.98743354008683,108.95887302701274,114.12266316725592,110.71626817423069,5.651614906906983
2021-01-01_2021-12-31,z500,GraphCast,3 days,3,RMSE,54,120.65097233141475,117.30091393716529,124.43341807520478,119.35724803766519,9.069846047228905
2021-01-01_2021-12-31,z500,GraphCast,5 days,0,RMSE,4,220.3524774288236,216.40786864690128,238.3621416703758,215.0014141227487,18.70269865247317
2021-01-01_2021-12-31,z500,GraphCast,5 days,3,RMSE,58,262.79332635420593,250.35972589078952,275.7491120275883,261.21990547477674,28.086682297215752
2021-01-01_2021-12-31,z500,GraphCast,7 days,3,RMSE,62,449.39758195519283,427.2962860672213,478.18863273065364,431.5655191704642,58.70774776532387
2021-01-01_2021-12-31,z500,HRES,1 days,0,ACC,161,0.9989090860437156,0.9988138531968662,0.9990047603160701,0.998962332411388,0.0002850669373739015
2021-01-01_2021-12-31,z500,HRES,1 days,1,ACC,273,0.9990938040915818,0.999037105032048,0.999164781630406,0.9991336291419068,0.00025689540275096993
2021-01-01_2021-12-31,z500,HRES,1 days,2,ACC,152,0.9984666466616805,0.9983924074642823,0.9985296121791328,0.9984646626516158,0.00024195401722243196
2021-01-01_2021-12-31,z500,HRES,1 days,3,ACC,142,0.999249758183809,0.9992253304781055,0.9992775500955978,0.9992422710023392,8.652642988871587e-05
2021-01-01_2021-12-31,z500,HRES,3 days,0,ACC,159,0.9903121710190064,0.9896568477344962,0.9909665495294778,0.9904216059299591,0.002474646020517414
2021-01-01_2021-12-31,z500,HRES,3 days,1,ACC,273,0.9912380018560621,0.9905359689673436,0.9920427067660847,0.9915939727980102,0.0031252663588399146
2021-01-01_2021-12-31,z500,HRES,3 days,2,ACC,152,0.9859130025367983,0.9850875685886264,0.986836505583326,0.9864015951521015,0.003173629658848723
2021-01-01_2021-12-31,z500,HRES,3 days,3,ACC,140,0.9935332856911712,0.99318004733108,0.9938897258254957,0.9937019491463415,0.001235786478285978
2021-01-01_2021-12-31,z500,HRES,5 days,0,ACC,155,0.9521717079188904,0.948260558460266,0.9556391052392702,0.954693228148386,0.013739492947000205
2021-01-01_2021-12-31,z500,HRES,5 days,1,ACC,273,0.9554996373487915,0.9515491377153711,0.9604571362468556,0.9594732719146079,0.018111948689906364
2021-01-01_2021-12-31,z500,HRES,5 days,2,ACC,152,0.9275490820713952,0.9215236621974858,0.9338192312810388,0.9313526419498123,0.021177019678883142
2021-01-01_2021-12-31,z500,HRES,5 days,3,ACC,140,0.9675686004749372,0.9651616921262239,0.9696878848925998,0.9687264759946943,0.009033822270649697
2021-01-01_2021-12-31,z500,HRES,7 days,0,ACC,151,0.8551546650890828,0.8423499675271721,0.865692355317931,0.8576582508354061,0.041809054036091683
