window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times
2022-03-01_2022-05-31,z500,HRES,1 days,46.56843497643992,0.9985700189510929,33.99989312888236,6.066226378157152,182
2022-03-01_2022-05-31,z500,HRES,3 days,141.08409422360225,0.9865222487703794,87.0479860115725,17.0088222558926,178
2022-03-01_2022-05-31,z500,HRES,5 days,314.46397103222574,0.932511101554413,182.08241167180014,24.448936505357025,174
2022-03-01_2022-05-31,z500,HRES,7 days,535.1645935464715,0.8066974674118228,311.14589481279484,28.326952209310697,170
2022-03-01_2022-05-31,z500,GraphCast,1 days,,,,,0
2022-03-01_2022-05-31,z500,GraphCast,3 days,,,,,0
2022-03-01_2022-05-31,z500,GraphCast,5 days,,,,,0
2022-03-01_2022-05-31,z500,GraphCast,7 days,,,,,0
2022-03-01_2022-05-31,z500,NeuralGCM,1 days,,,,,0
2022-03-01_2022-05-31,z500,NeuralGCM,3 days,,,,,0
2022-03-01_2022-05-31,z500,NeuralGCM,5 days,,,,,0
2022-03-01_2022-05-31,z500,NeuralGCM,7 days,,,,,0
2022-03-01_2022-05-31,t850,HRES,1 days,0.7900970464087749,0.9800901110453738,0.5323859802417872,-0.04618346869412326,182
2022-03-01_2022-05-31,t850,HRES,3 days,1.2148130165007798,0.9530249897528923,0.8222976264287523,0.024153313685037738,178
2022-03-01_2022-05-31,t850,HRES,5 days,1.8831128059118891,0.8868680286186555,1.2391118650229935,0.04939604823726113,174
2022-03-01_2022-05-31,t850,HRES,7 days,2.728068915795697,0.7622519615441452,1.7768213207771286,0.04811973923643831,170
2022-03-01_2022-05-31,t850,GraphCast,1 days,,,,,0
2022-03-01_2022-05-31,t850,GraphCast,3 days,,,,,0
2022-03-01_2022-05-31,t850,GraphCast,5 days,,,,,0
2022-03-01_2022-05-31,t850,GraphCast,7 days,,,,,0
2022-03-01_2022-05-31,t850,NeuralGCM,1 days,,,,,0
2022-03-01_2022-05-31,t850,NeuralGCM,3 days,,,,,0
2022-03-01_2022-05-31,t850,NeuralGCM,5 days,,,,,0
2022-03-01_2022-05-31,t850,NeuralGCM,7 days,,,,,0
2022-03-01_2022-05-31,u850,HRES,1 days,1.2917879926015008,0.9732546615273353,0.9523731197292963,0.026639859155761263,182
2022-03-01_2022-05-31,u850,HRES,3 days,2.3118760457331566,0.9134029430147409,1.616010976818318,-0.007598095262982939,178
2022-03-01_2022-05-31,u850,HRES,5 days,3.6776719828839317,0.7816051953196308,2.491198913153276,-0.03818183778687808,174
2022-03-01_2022-05-31,u850,HRES,7 days,5.050515454670291,0.5926776652404677,3.445708240960887,-0.052462252245534066,170
2022-03-01_2022-05-31,u850,GraphCast,1 days,,,,,0
2022-03-01_2022-05-31,u850,GraphCast,3 days,,,,,0
2022-03-01_2022-05-31,u850,GraphCast,5 days,,,,,0
2022-03-01_2022-05-31,u850,GraphCast,7 days,,,,,0
2022-03-01_2022-05-31,u850,NeuralGCM,1 days,,,,,0
2022-03-01_2022-05-31,u850,NeuralGCM,3 days,,,,,0
2022-03-01_2022-05-31,u850,NeuralGCM,5 days,,,,,0
2022-03-01_2022-05-31,u850,NeuralGCM,7 days,,,,,0
2022-03-01_2022-05-31,v850,HRES,1 days,1.3027843229300853,0.9712818873760031,0.9527678076125723,-0.02019084011228839,182
2022-03-01_2022-05-31,v850,HRES,3 days,2.335978874835428,0.9070130900422635,1.6014064311014775,-0.0038940991030201877,178
2022-03-01_2022-05-31,v850,HRES,5 days,3.737348412567479,0.7629343059017595,2.468572689489378,-0.012292734263599414,174
2022-03-01_2022-05-31,v850,HRES,7 days,5.099193471151229,0.5634782645065967,3.383634946936685,-0.013034998110794675,170
2022-03-01_2022-05-31,v850,GraphCast,1 days,,,,,0
2022-03-01_2022-05-31,v850,GraphCast,3 days,,,,,0
2022-03-01_2022-05-31,v850,GraphCast,5 days,,,,,0
2022-03-01_2022-05-31,v850,GraphCast,7 days,,,,,0
2022-03-01_2022-05-31,v850,NeuralGCM,1 days,,,,,0
2022-03-01_2022-05-31,v850,NeuralGCM,3 days,,,,,0
2022-03-01_2022-05-31,v850,NeuralGCM,5 days,,,,,0
2022-03-01_2022-05-31,v850,NeuralGCM,7 days,,,,,0
2022-03-01_2022-05-31,mslp,HRES,1 days,62.9452038759366,0.9959436199753986,44.52995795203106,2.4568552718172256,182
2022-03-01_2022-05-31,mslp,HRES,3 days,153.43328216532402,0.9755946780214293,96.98447556700516,1.7962317617497545,178
2022-03-01_2022-05-31,mslp,HRES,5 days,315.18068353284133,0.8980557249677198,187.65382899000952,2.1136615665107166,174
2022-03-01_2022-05-31,mslp,HRES,7 days,510.25214215404685,0.7386274922563568,303.93672870540837,2.420198773214544,170
2022-03-01_2022-05-31,mslp,GraphCast,1 days,,,,,0
2022-03-01_2022-05-31,mslp,GraphCast,3 days,,,,,0
2022-03-01_2022-05-31,mslp,GraphCast,5 days,,,,,0
2022-03-01_2022-05-31,mslp,GraphCast,7 days,,,,,0
