window,model,lead,div_rmse_mean,vort_rmse_mean
2022-03-01_2022-05-31,HRES,1 days,6.328188488347925e-06,1.008143819778981e-05
2022-03-01_2022-05-31,HRES,3 days,8.333136894791418e-06,1.7600028376314215e-05
2022-03-01_2022-05-31,HRES,5 days,9.745706089636855e-06,2.4138643121244588e-05
2022-03-01_2022-05-31,HRES,7 days,1.067087610876126e-05,2.835653383621402e-05
2022-03-01_2022-05-31,GraphCast,1 days,,
2022-03-01_2022-05-31,GraphCast,3 days,,
2022-03-01_2022-05-31,GraphCast,5 days,,
2022-03-01_2022-05-31,GraphCast,7 days,,
2022-03-01_2022-05-31,NeuralGCM,1 days,,
2022-03-01_2022-05-31,NeuralGCM,3 days,,
2022-03-01_2022-05-31,NeuralGCM,5 days,,
2022-03-01_2022-05-31,NeuralGCM,7 days,,
