window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2018-09-01_2018-11-30,HRES,1 days,0,358.3799201984279,47.247095827595324,44
2018-09-01_2018-11-30,HRES,1 days,1,374.1062841248504,46.43753014921688,72
2018-09-01_2018-11-30,HRES,1 days,2,361.02846380771376,47.08771133013545,35
2018-09-01_2018-11-30,HRES,1 days,3,368.07596988657286,48.62732778183346,28
2018-09-01_2018-11-30,HRES,3 days,0,365.7983228806628,139.41052001448318,44
2018-09-01_2018-11-30,HRES,3 days,1,379.2053729536688,135.72394876368543,72
2018-09-01_2018-11-30,HRES,3 days,2,367.12514433890993,148.74758214462037,31
2018-09-01_2018-11-30,HRES,3 days,3,373.5489409206046,139.42280190738336,28
2018-09-01_2018-11-30,HRES,5 days,0,405.10923793862185,312.663840486656,44
2018-09-01_2018-11-30,HRES,5 days,1,412.6923689203569,296.87408198406723,72
2018-09-01_2018-11-30,HRES,5 days,2,402.14540114349205,317.04465605117286,27
2018-09-01_2018-11-30,HRES,5 days,3,404.2989173486344,297.74650048814055,28
2018-09-01_2018-11-30,HRES,7 days,0,515.9089349429939,538.0438858915077,44
2018-09-01_2018-11-30,HRES,7 days,1,515.062016753938,507.474372899406,72
2018-09-01_2018-11-30,HRES,7 days,2,492.7144918403066,518.8746325677481,23
2018-09-01_2018-11-30,HRES,7 days,3,484.81433693091225,509.07633814460524,28
