window,model,lead,div_rmse_mean,vort_rmse_mean
2021-12-01_2022-02-28,HRES,1 days,6.169108295633626e-06,9.874373664161505e-06
2021-12-01_2022-02-28,HRES,3 days,8.089657579050829e-06,1.7113490922084424e-05
2021-12-01_2022-02-28,HRES,5 days,9.430195638235007e-06,2.3203921468658587e-05
2021-12-01_2022-02-28,HRES,7 days,1.0327491685249015e-05,2.7371949084557234e-05
2021-12-01_2022-02-28,GraphCast,1 days,,
2021-12-01_2022-02-28,GraphCast,3 days,,
2021-12-01_2022-02-28,GraphCast,5 days,,
2021-12-01_2022-02-28,GraphCast,7 days,,
2021-12-01_2022-02-28,NeuralGCM,1 days,,
2021-12-01_2022-02-28,NeuralGCM,3 days,,
2021-12-01_2022-02-28,NeuralGCM,5 days,,
2021-12-01_2022-02-28,NeuralGCM,7 days,,
