window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2022-03-01_2022-05-31,HRES,1 days,0,365.10004616491585,47.2330570859399,35
2022-03-01_2022-05-31,HRES,1 days,1,380.85920339539007,46.487682670227635,91
2022-03-01_2022-05-31,HRES,1 days,2,381.14407991440464,46.55436719207076,41
2022-03-01_2022-05-31,HRES,1 days,3,344.67583018465575,45.47397304617727,14
2022-03-01_2022-05-31,HRES,3 days,0,368.5586537176364,147.44240944927216,35
2022-03-01_2022-05-31,HRES,3 days,1,384.7762592025774,138.95129886314604,91
2022-03-01_2022-05-31,HRES,3 days,2,391.2169859761106,141.28861458082199,37
2022-03-01_2022-05-31,HRES,3 days,3,351.587629408501,138.49634931851043,14
2022-03-01_2022-05-31,HRES,5 days,0,421.40122038637924,334.1418849159092,35
2022-03-01_2022-05-31,HRES,5 days,1,425.3689064709252,307.16764291843185,91
2022-03-01_2022-05-31,HRES,5 days,2,425.4939832659083,320.7052669907729,33
2022-03-01_2022-05-31,HRES,5 days,3,392.39868130963185,297.5378860204915,14
2022-03-01_2022-05-31,HRES,7 days,0,558.9565732899947,570.2309667999253,35
2022-03-01_2022-05-31,HRES,7 days,1,535.849334110956,528.5350249471253,91
2022-03-01_2022-05-31,HRES,7 days,2,524.1002348993934,540.5829808466442,29
2022-03-01_2022-05-31,HRES,7 days,3,496.0779425787388,478.98002637964544,14
