window,model,lead,div_rmse_mean,vort_rmse_mean
2020-09-01_2020-11-30,HRES,1 days,6.21467500622283e-06,1.0094329157319689e-05
2020-09-01_2020-11-30,HRES,3 days,8.179585001981768e-06,1.7599697132884828e-05
2020-09-01_2020-11-30,HRES,5 days,9.552608447084489e-06,2.383991509812797e-05
2020-09-01_2020-11-30,HRES,7 days,1.047880515704944e-05,2.807120589186762e-05
2020-09-01_2020-11-30,GraphCast,1 days,4.691763075102358e-06,7.504474333779368e-06
2020-09-01_2020-11-30,GraphCast,3 days,6.47422506002879e-06,1.4179661785110072e-05
2020-09-01_2020-11-30,GraphCast,5 days,7.715524587324375e-06,1.948117771521565e-05
2020-09-01_2020-11-30,GraphCast,7 days,8.742383524718777e-06,2.3561360946986855e-05
2020-09-01_2020-11-30,NeuralGCM,1 days,5.098218099914032e-06,7.940328401343344e-06
2020-09-01_2020-11-30,NeuralGCM,3 days,6.864760878671814e-06,1.4895524757484921e-05
2020-09-01_2020-11-30,NeuralGCM,5 days,8.193478211898014e-06,2.0958188316614257e-05
2020-09-01_2020-11-30,NeuralGCM,7 days,9.221029653294313e-06,2.575186833367999e-05
