window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2020-03-01_2020-05-31,HRES,1 days,0.02,120,0.6593406593406593
2020-03-01_2020-05-31,HRES,1 days,0.05,104,0.5714285714285714
2020-03-01_2020-05-31,HRES,1 days,0.1,86,0.4725274725274725
2020-03-01_2020-05-31,HRES,1 days,0.2,42,0.23076923076923078
2020-03-01_2020-05-31,HRES,1 days,0.5,0,0.0
2020-03-01_2020-05-31,HRES,3 days,0.02,119,0.6685393258426966
2020-03-01_2020-05-31,HRES,3 days,0.05,104,0.5842696629213483
2020-03-01_2020-05-31,HRES,3 days,0.1,86,0.48314606741573035
2020-03-01_2020-05-31,HRES,3 days,0.2,42,0.23595505617977527
2020-03-01_2020-05-31,HRES,3 days,0.5,0,0.0
2020-03-01_2020-05-31,HRES,5 days,0.02,118,0.6781609195402298
2020-03-01_2020-05-31,HRES,5 days,0.05,104,0.5977011494252874
2020-03-01_2020-05-31,HRES,5 days,0.1,86,0.4942528735632184
2020-03-01_2020-05-31,HRES,5 days,0.2,42,0.2413793103448276
2020-03-01_2020-05-31,HRES,5 days,0.5,0,0.0
2020-03-01_2020-05-31,HRES,7 days,0.02,118,0.6941176470588235
2020-03-01_2020-05-31,HRES,7 days,0.05,104,0.611764705882353
2020-03-01_2020-05-31,HRES,7 days,0.1,86,0.5058823529411764
2020-03-01_2020-05-31,HRES,7 days,0.2,42,0.24705882352941178
2020-03-01_2020-05-31,HRES,7 days,0.5,0,0.0
2020-03-01_2020-05-31,GraphCast,1 days,0.02,120,0.6593406593406593
2020-03-01_2020-05-31,GraphCast,1 days,0.05,104,0.5714285714285714
2020-03-01_2020-05-31,GraphCast,1 days,0.1,86,0.4725274725274725
2020-03-01_2020-05-31,GraphCast,1 days,0.2,42,0.23076923076923078
2020-03-01_2020-05-31,GraphCast,1 days,0.5,0,0.0
2020-03-01_2020-05-31,GraphCast,3 days,0.02,119,0.6685393258426966
2020-03-01_2020-05-31,GraphCast,3 days,0.05,104,0.5842696629213483
2020-03-01_2020-05-31,GraphCast,3 days,0.1,86,0.48314606741573035
2020-03-01_2020-05-31,GraphCast,3 days,0.2,42,0.23595505617977527
2020-03-01_2020-05-31,GraphCast,3 days,0.5,0,0.0
2020-03-01_2020-05-31,GraphCast,5 days,0.02,118,0.6781609195402298
2020-03-01_2020-05-31,GraphCast,5 days,0.05,104,0.5977011494252874
2020-03-01_2020-05-31,GraphCast,5 days,0.1,86,0.4942528735632184
2020-03-01_2020-05-31,GraphCast,5 days,0.2,42,0.2413793103448276
2020-03-01_2020-05-31,GraphCast,5 days,0.5,0,0.0
2020-03-01_2020-05-31,GraphCast,7 days,0.02,118,0.6941176470588235
2020-03-01_2020-05-31,GraphCast,7 days,0.05,104,0.611764705882353
2020-03-01_2020-05-31,GraphCast,7 days,0.1,86,0.5058823529411764
2020-03-01_2020-05-31,GraphCast,7 days,0.2,42,0.24705882352941178
2020-03-01_2020-05-31,GraphCast,7 days,0.5,0,0.0
2020-03-01_2020-05-31,NeuralGCM,1 days,0.02,120,0.6593406593406593
2020-03-01_2020-05-31,NeuralGCM,1 days,0.05,104,0.5714285714285714
2020-03-01_2020-05-31,NeuralGCM,1 days,0.1,86,0.4725274725274725
2020-03-01_2020-05-31,NeuralGCM,1 days,0.2,42,0.23076923076923078
2020-03-01_2020-05-31,NeuralGCM,1 days,0.5,0,0.0
2020-03-01_2020-05-31,NeuralGCM,3 days,0.02,119,0.6685393258426966
2020-03-01_2020-05-31,NeuralGCM,3 days,0.05,104,0.5842696629213483
2020-03-01_2020-05-31,NeuralGCM,3 days,0.1,86,0.48314606741573035
2020-03-01_2020-05-31,NeuralGCM,3 days,0.2,42,0.23595505617977527
2020-03-01_2020-05-31,NeuralGCM,3 days,0.5,0,0.0
2020-03-01_2020-05-31,NeuralGCM,5 days,0.02,118,0.6781609195402298
2020-03-01_2020-05-31,NeuralGCM,5 days,0.05,104,0.5977011494252874
2020-03-01_2020-05-31,NeuralGCM,5 days,0.1,86,0.4942528735632184
2020-03-01_2020-05-31,NeuralGCM,5 days,0.2,42,0.2413793103448276
2020-03-01_2020-05-31,NeuralGCM,5 days,0.5,0,0.0
2020-03-01_2020-05-31,NeuralGCM,7 days,0.02,118,0.6941176470588235
2020-03-01_2020-05-31,NeuralGCM,7 days,0.05,104,0.611764705882353
2020-03-01_2020-05-31,NeuralGCM,7 days,0.1,86,0.5058823529411764
2020-03-01_2020-05-31,NeuralGCM,7 days,0.2,42,0.24705882352941178
2020-03-01_2020-05-31,NeuralGCM,7 days,0.5,0,0.0
