window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2020-03-01_2020-05-31,HRES,1 days,47.956705182455,47.71848459462786,86,96
2020-03-01_2020-05-31,HRES,3 days,143.75558714642855,141.40515550266556,86,92
2020-03-01_2020-05-31,HRES,5 days,330.94526559067486,314.98469313722364,86,88
2020-03-01_2020-05-31,HRES,7 days,565.8602551464227,557.2348273106915,86,84
2020-03-01_2020-05-31,GraphCast,1 days,40.72509638657722,39.24682794487842,86,96
2020-03-01_2020-05-31,GraphCast,3 days,129.83871975319605,126.5946370253113,86,92
2020-03-01_2020-05-31,GraphCast,5 days,296.2721317496321,286.08200277767986,86,88
2020-03-01_2020-05-31,GraphCast,7 days,524.9863138925347,486.41324051281947,86,84
2020-03-01_2020-05-31,NeuralGCM,1 days,38.37232545345551,37.78415536568517,86,96
2020-03-01_2020-05-31,NeuralGCM,3 days,121.0885983989585,118.41716591065557,86,92
2020-03-01_2020-05-31,NeuralGCM,5 days,289.4290964736702,281.06884889317007,86,88
2020-03-01_2020-05-31,NeuralGCM,7 days,514.9375331033616,497.1828284530234,86,84
