window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times
2019-12-01_2020-02-29,z500,HRES,1 days,48.91762085854868,0.9980450742027343,37.48908707294743,-9.521145083157542,180
2019-12-01_2020-02-29,z500,HRES,3 days,135.85134357954644,0.9846764357462647,91.37085778158176,-14.291763343994198,176
2019-12-01_2020-02-29,z500,HRES,5 days,289.646071811571,0.929131726811826,181.95852207460612,-20.440236415280253,172
2019-12-01_2020-02-29,z500,HRES,7 days,488.6500900963539,0.7975628581646625,300.26704613343423,-26.564561043114097,168
2019-12-01_2020-02-29,z500,GraphCast,1 days,38.37860313000687,0.9987891844309436,28.41782890527266,-3.476990241548926,180
2019-12-01_2020-02-29,z500,GraphCast,3 days,117.3552329334368,0.9885352144455708,74.96786110442308,-9.471164967329189,176
2019-12-01_2020-02-29,z500,GraphCast,5 days,252.27670468117557,0.9453264602629023,150.86035714343262,-16.248212387050035,172
2019-12-01_2020-02-29,z500,GraphCast,7 days,436.51350218323137,0.8331542642075169,254.701609133859,-22.297585889443184,168
2019-12-01_2020-02-29,z500,NeuralGCM,1 days,37.4995977763275,0.998751789633327,28.25138333422356,-6.657449111637973,118
2019-12-01_2020-02-29,z500,NeuralGCM,3 days,111.36756095398168,0.988922409961851,70.83428548235152,-7.6203859266983045,114
2019-12-01_2020-02-29,z500,NeuralGCM,5 days,248.5066341256558,0.9445074479502727,148.40201491371724,-6.471627002268968,110
2019-12-01_2020-02-29,z500,NeuralGCM,7 days,437.7334567577613,0.8287356229673882,256.77081586047814,-5.2112996341722955,106
2019-12-01_2020-02-29,t850,HRES,1 days,0.7320691736984107,0.9776843484455494,0.513054745384249,-0.037446084534424134,180
2019-12-01_2020-02-29,t850,HRES,3 days,1.1404890770319827,0.9458803838307595,0.7911770945587911,-0.028531693857698204,176
2019-12-01_2020-02-29,t850,HRES,5 days,1.762290774625063,0.8704518511990249,1.1790109276592353,-0.059177490108065764,172
2019-12-01_2020-02-29,t850,HRES,7 days,2.550480241899804,0.7291495941953602,1.6749825916632097,-0.10530958869083859,168
2019-12-01_2020-02-29,t850,GraphCast,1 days,0.509351321006862,0.9892162603616284,0.3653810771554162,-0.02118522923721877,180
2019-12-01_2020-02-29,t850,GraphCast,3 days,0.9134757631764074,0.964834926489928,0.6342283662488096,-0.046904222414173954,176
2019-12-01_2020-02-29,t850,GraphCast,5 days,1.4883224893707918,0.9048052092722959,0.9838568506516292,-0.09037415708810143,172
2019-12-01_2020-02-29,t850,GraphCast,7 days,2.242236212039992,0.781781830441473,1.4402336171376602,-0.1282595928620596,168
2019-12-01_2020-02-29,t850,NeuralGCM,1 days,0.5403401712185465,0.98734963062563,0.3879321935543549,-0.01087677173518766,118
2019-12-01_2020-02-29,t850,NeuralGCM,3 days,0.9426864860620825,0.9608728080371076,0.6543994416662797,-0.011179570389696478,114
2019-12-01_2020-02-29,t850,NeuralGCM,5 days,1.5229263348393627,0.8966980405116619,1.007956751234156,0.008014696307890807,110
2019-12-01_2020-02-29,t850,NeuralGCM,7 days,2.2742581931267933,0.771992925225516,1.466085188536633,0.018116061818312434,106
2019-12-01_2020-02-29,u850,HRES,1 days,1.302882786929545,0.9725756490410187,0.9562965027873632,-7.1955422318356306e-06,180
2019-12-01_2020-02-29,u850,HRES,3 days,2.327357493927917,0.9111628017855827,1.6307371331597345,0.00043963337960287787,176
2019-12-01_2020-02-29,u850,HRES,5 days,3.6056363240141533,0.7846096056405786,2.4713577948931973,-0.043612031038695466,172
2019-12-01_2020-02-29,u850,HRES,7 days,4.90028665235455,0.6033587416027076,3.3633276895802346,-0.08141104975703588,168
2019-12-01_2020-02-29,u850,GraphCast,1 days,0.9954136997790002,0.9840136581595308,0.727432763030098,0.0009964288442849004,180
2019-12-01_2020-02-29,u850,GraphCast,3 days,1.9050968327211917,0.9396439284356913,1.328796333784391,0.043410914472753116,176
2019-12-01_2020-02-29,u850,GraphCast,5 days,3.0210826990738173,0.8420781247839727,2.0457941212773685,0.07007752855489513,172
2019-12-01_2020-02-29,u850,GraphCast,7 days,4.201487351347276,0.6876495697302876,2.847138913745872,0.08185532289236826,168
2019-12-01_2020-02-29,u850,NeuralGCM,1 days,1.04880356462845,0.9814400543332263,0.7706501938890497,-0.0049792473668755985,118
2019-12-01_2020-02-29,u850,NeuralGCM,3 days,1.9563878950587876,0.934104983443961,1.3667940219993806,0.01773836419044156,114
2019-12-01_2020-02-29,u850,NeuralGCM,5 days,3.1072829523880836,0.8315538014503032,2.105451475867461,0.04930014463467616,110
2019-12-01_2020-02-29,u850,NeuralGCM,7 days,4.368691843827245,0.6670589871934707,2.9562791597037976,0.07349161765924897,106
2019-12-01_2020-02-29,v850,HRES,1 days,1.319114406508975,0.9698474438134737,0.9626693463762979,-0.011462332102600455,180
2019-12-01_2020-02-29,v850,HRES,3 days,2.327933075101275,0.9044776692474799,1.6027190602176142,-0.020896211718807744,176
2019-12-01_2020-02-29,v850,HRES,5 days,3.5780141640290424,0.7732315516967325,2.4069867543054637,-0.02213491635064654,172
2019-12-01_2020-02-29,v850,HRES,7 days,4.88608596890969,0.5776145878449508,3.2751143325578442,-0.014846076836818097,168
2019-12-01_2020-02-29,v850,GraphCast,1 days,1.0154447597602931,0.9821712639163107,0.7386914687709929,-0.0002956332868950991,180
2019-12-01_2020-02-29,v850,GraphCast,3 days,1.9180151187684116,0.9343755398009255,1.3201025748107922,0.013076668540711251,176
2019-12-01_2020-02-29,v850,GraphCast,5 days,3.037026651216512,0.8282074292855744,2.0159856834929446,0.018060387573717505,172
2019-12-01_2020-02-29,v850,GraphCast,7 days,4.2287336703458225,0.657311567708413,2.7889439777372633,0.01490294716643524,168
2019-12-01_2020-02-29,v850,NeuralGCM,1 days,1.0709166242486483,0.9797527760315278,0.7831139232395263,-0.008811215621609556,118
2019-12-01_2020-02-29,v850,NeuralGCM,3 days,1.9740405084786665,0.9297628404576008,1.3606814427375618,0.009827461343874964,114
2019-12-01_2020-02-29,v850,NeuralGCM,5 days,3.1434456864129117,0.8207571912784486,2.0903748662623296,0.01472989410959778,110
2019-12-01_2020-02-29,v850,NeuralGCM,7 days,4.4135335418370945,0.642959101018833,2.9130546838887317,0.021618999507856295,106
2019-12-01_2020-02-29,mslp,HRES,1 days,63.134804636627855,0.9958226266828417,45.05376785591619,-2.1159543174033346,180
2019-12-01_2020-02-29,mslp,HRES,3 days,146.9854861102871,0.9769666026997134,95.07169485742564,-2.3590813097415295,176
2019-12-01_2020-02-29,mslp,HRES,5 days,294.7917383913918,0.9061998514174587,179.8483777261299,-2.175467973776433,172
2019-12-01_2020-02-29,mslp,HRES,7 days,484.2272129269545,0.7473082886847554,291.25587654717674,-2.2433401312128267,168
2019-12-01_2020-02-29,mslp,GraphCast,1 days,46.93228054676894,0.9976891100472579,34.348036594564924,-4.10989729187135,180
2019-12-01_2020-02-29,mslp,GraphCast,3 days,125.35215159541991,0.9832675325860389,80.365212231341,-10.076972117570355,176
2019-12-01_2020-02-29,mslp,GraphCast,5 days,256.3907449041916,0.9278669008666309,154.9188903109737,-14.053002334202672,172
2019-12-01_2020-02-29,mslp,GraphCast,7 days,429.115293396971,0.7940544252144066,254.63267181405587,-16.31546050934373,168
